Passage,Harmonic,Arithmetic
Deut.32,3,523
Deut.33.1,27,1402
Deut.33.2,2,344
Deut.33.3,2,263
Deut.33.4,4,150
Deut.33.5,4,193
Deut.33.6,3,34
Deut.33.7,7,458
Deut.33.8,1,689
Deut.33.9,3,785
Deut.33.10,2,21
Deut.33.11,2,482
Deut.33.12,3,327
Deut.33.13,2,76
Deut.33.14,2,3
Deut.33.15,2,18
Deut.33.16,2,49
Deut.33.17,3,77
Deut.33.18,1,102
Deut.33.19,2,259
Deut.33.20,2,88
Deut.33.21,4,629
Deut.33.22,2,177
Deut.33.23,2,530
Deut.33.24,2,82
Deut.33.25,1,8
Deut.33.26,2,49
Deut.33.27,2,230
Deut.33.28,4,437
Deut.33.29,3,341
Deut.33,2,333
Deut.34.1,10,1609
Deut.34.2,20,738
Deut.34.3,7,297
Deut.34.4,6,909
Deut.34.5,115,1069
Deut.34.6,5,697
Deut.34.7,4,304
Deut.34.8,7,702
Deut.34.9,16,1091
Deut.34.10,6,1170
Deut.34.11,9,763
Deut.34.12,7,737
Deut.34,8,897
Deut,5,813
Josh.1.1,50,1211
Josh.1.2,88,993
Josh.1.3,8,916
Josh.1.4,5,103
Josh.1.5,6,423
Josh.1.6,9,1549
Josh.1.7,6,538
Josh.1.8,5,512
Josh.1.9,7,897
Josh.1.10,5,1270
Josh.1.11,17,1259
Josh.1.12,5,147
Josh.1.13,14,1656
Josh.1.14,6,344
Josh.1.15,10,1293
Josh.1.16,3,1509
Josh.1.17,84,964
Josh.1.18,5,1570
Josh.1,8,959
Josh.2.1,8,441
Josh.2.2,9,717
Josh.2.3,7,1183
Josh.2.4,8,606
Josh.2.5,5,399
Josh.2.6,1,364
Josh.2.7,3,317
Josh.2.8,4,464
Josh.2.9,11,1082
Josh.2.10,10,1149
Josh.2.11,10,652
Josh.2.12,12,341
Josh.2.13,4,1563
Josh.2.14,7,1070
Josh.2.15,2,286
Josh.2.16,3,130
Josh.2.17,7,641
Josh.2.18,3,794
Josh.2.19,6,520
Josh.2.20,3,1178
Josh.2.21,2,676
Josh.2.22,14,230
Josh.2.23,6,479
Josh.2.24,11,1496
Josh.2,5,723
Josh.3.1,5,404
Josh.3.2,14,130
Josh.3.3,4,755
Josh.3.4,4,914
Josh.3.5,11,1299
Josh.3.6,41,1138
Josh.3.7,7,1270
Josh.3.8,4,584
Josh.3.9,7,1695
Josh.3.10,6,817
Josh.3.11,11,441
Josh.3.12,12,529
Josh.3.13,6,431
Josh.3.14,6,666
Josh.3.15,4,382
Josh.3.16,4,363
Josh.3.17,7,1046
Josh.3,6,761
Josh.4.1,18,1443
Josh.4.2,20,419
Josh.4.3,4,280
Josh.4.4,9,971
Josh.4.5,14,802
Josh.4.6,16,219
Josh.4.7,11,637
Josh.4.8,8,688
Josh.4.9,18,177
Josh.4.10,11,1314
Josh.4.11,8,810
Josh.4.12,20,374
Josh.4.13,4,850
Josh.4.14,18,1531
Josh.4.15,464,2155
Josh.4.16,10,832
Josh.4.17,57,1026
Josh.4.18,5,641
Josh.4.19,16,92
Josh.4.20,13,549
Josh.4.21,21,1405
Josh.4.22,6,1583
Josh.4.23,5,1344
Josh.4.24,14,1817
Josh.4,9,870
Josh.5.1,19,1093
Josh.5.2,6,1151
Josh.5.3,5,1186
Josh.5.4,13,502
Josh.5.5,4,588
Josh.5.6,14,1267
Josh.5.7,8,728
Josh.5.8,4,226
Josh.5.9,7,1118
Josh.5.10,17,653
Josh.5.11,3,143
Josh.5.12,5,289
Josh.5.13,5,323
Josh.5.14,13,1069
Josh.5.15,11,991
Josh.5,8,834
Josh.6.1,3,372
Josh.6.2,12,1458
Josh.6.3,6,962
Josh.6.4,6,431
Josh.6.5,5,480
Josh.6.6,6,671
Josh.6.7,6,1014
Josh.6.8,5,760
Josh.6.9,3,85
Josh.6.10,4,736
Josh.6.11,7,1017
Josh.6.12,73,959
Josh.6.13,4,471
Josh.6.14,36,605
Josh.6.15,10,764
Josh.6.16,19,1208
Josh.6.17,6,1131
Josh.6.18,3,590
Josh.6.19,20,539
Josh.6.20,8,711
Josh.6.21,11,871
Josh.6.22,6,1152
Josh.6.23,5,1020
Josh.6.24,9,447
Josh.6.25,12,1313
Josh.6.26,4,1137
Josh.6.27,49,1684
Josh.6,6,837
Josh.7.1,9,499
Josh.7.2,7,972
Josh.7.3,7,1085
Josh.7.4,23,313
Josh.7.5,4,231
Josh.7.6,19,878
Josh.7.7,4,761
Josh.7.8,27,738
Josh.7.9,4,566
Josh.7.10,15,1235
Josh.7.11,6,767
Josh.7.12,6,626
Josh.7.13,5,975
Josh.7.14,2,1142
Josh.7.15,9,1354
Josh.7.16,12,882
Josh.7.17,5,965
Josh.7.18,9,672
Josh.7.19,9,492
Josh.7.20,11,688
Josh.7.21,3,58
Josh.7.22,4,80
Josh.7.23,5,824
Josh.7.24,10,831
Josh.7.25,4,590
Josh.7.26,20,595
Josh.7,6,738
Josh.8.1,22,939
Josh.8.2,3,95
Josh.8.3,18,174
Josh.8.4,5,187
Josh.8.5,7,763
Josh.8.6,5,373
Josh.8.7,3,1192
Josh.8.8,6,1367
Josh.8.9,8,263
Josh.8.10,31,881
Josh.8.11,5,408
Josh.8.12,11,159
Josh.8.13,9,956
Josh.8.14,8,401
Josh.8.15,6,362
Josh.8.16,3,703
Josh.8.17,10,926
Josh.8.18,11,1504
Josh.8.19,3,496
Josh.8.20,7,264
Josh.8.21,9,961
Josh.8.22,11,195
Josh.8.23,5,677
Josh.8.24,13,757
Josh.8.25,29,180
Josh.8.26,16,1049
Josh.8.27,22,1390
Josh.8.28,6,772
Josh.8.29,11,643
Josh.8.30,14,321
Josh.8.31,11,875
Josh.8.32,9,922
Josh.8.33,6,808
Josh.8.34,7,733
Josh.8.35,18,846
Josh.8,8,678
Josh.9.1,14,427
Josh.9.2,21,306
Josh.9.3,5,659
Josh.9.4,2,31
Josh.9.5,2,65
Josh.9.6,17,648
Josh.9.7,6,493
Josh.9.8,8,552
Josh.9.9,34,891
Josh.9.10,10,1046
Josh.9.11,4,113
Josh.9.12,3,141
Josh.9.13,2,366
Josh.9.14,3,1184
Josh.9.15,7,201
Josh.9.16,13,606
Josh.9.17,6,435
Josh.9.18,10,722
Josh.9.19,14,727
Josh.9.20,8,696
Josh.9.21,7,132
Josh.9.22,8,182
Josh.9.23,6,100
Josh.9.24,8,1577
Josh.9.25,6,76
Josh.9.26,8,470
Josh.9.27,4,903
Josh.9,6,567
Josh.10.1,6,702
Josh.10.2,5,292
Josh.10.3,5,325
Josh.10.4,3,1396
Josh.10.5,17,291
Josh.10.6,6,530
Josh.10.7,24,236
Josh.10.8,9,1063
Josh.10.9,24,436
Josh.10.10,4,504
Josh.10.11,7,493
Josh.10.12,10,945
Josh.10.13,6,283
Josh.10.14,40,1150
Josh.10.15,14,791
Josh.10.16,3,44
Josh.10.17,3,81
Josh.10.18,3,494
Josh.10.19,5,673
Josh.10.20,4,442
Josh.10.21,8,1079
Josh.10.22,8,1181
Josh.10.23,13,1502
Josh.10.24,7,1259
Josh.10.25,10,852
Josh.10.26,5,560
Josh.10.27,6,604
Josh.10.28,11,623
Josh.10.29,4,271
Josh.10.30,14,798
Josh.10.31,12,276
Josh.10.32,12,1364
Josh.10.33,9,660
Josh.10.34,6,274
Josh.10.35,7,799
Josh.10.36,6,263
Josh.10.37,9,1083
Josh.10.38,13,366
Josh.10.39,5,848
Josh.10.40,9,1045
Josh.10.41,11,337
Josh.10.42,30,966
Josh.10.43,14,791
Josh.10,7,729
Josh.11.1,8,432
Josh.11.2,2,407
Josh.11.3,6,45
Josh.11.4,18,566
Josh.11.5,11,391
Josh.11.6,10,1217
Josh.11.7,17,392
Josh.11.8,5,469
Josh.11.9,6,1117
Josh.11.10,22,687
Josh.11.11,10,1237
Josh.11.12,12,401
Josh.11.13,4,1140
Josh.11.14,7,586
Josh.11.15,121,1682
Josh.11.16,9,1149
Josh.11.17,5,236
Josh.11.18,76,1134
Josh.11.19,8,1171
Josh.11.20,9,1578
Josh.11.21,6,522
Josh.11.22,3,365
Josh.11.23,5,1228
Josh.11,7,831
Josh.12.1,13,739
Josh.12.2,9,474
Josh.12.3,3,150
Josh.12.4,4,70
Josh.12.5,5,115
Josh.12.6,7,849
Josh.12.7,4,410
Josh.12.8,3,8
Josh.12.9,35,666
Josh.12.10,102,299
Josh.12.11,22,265
Josh.12.12,15,264
Josh.12.13,8,263
Josh.12.14,4,263
Josh.12.15,20,265
Josh.12.16,24,269
Josh.12.17,15,264
Josh.12.18,2,262
Josh.12.19,31,266
Josh.12.20,2,225
Josh.12.21,16,264
Josh.12.22,4,198
Josh.12.23,4,169
Josh.12.24,5,521
Josh.12,6,359
Josh.13.1,5,523
Josh.13.2,3,516
Josh.13.3,2,438
Josh.13.4,4,824
Josh.13.5,6,154
Josh.13.6,4,493
Josh.13.7,4,708
Josh.13.8,15,499
Josh.13.9,6,990
Josh.13.10,40,663
Josh.13.11,6,176
Josh.13.12,4,591
Josh.13.13,7,1004
Josh.13.14,29,782
Josh.13.15,51,185
Josh.13.16,10,1087
Josh.13.17,5,502
Josh.13.18,1,1
Josh.13.19,1,13
Josh.13.20,2,24
Josh.13.21,13,844
Josh.13.22,4,773
Josh.13.23,53,202
Josh.13.24,47,163
Josh.13.25,19,767
Josh.13.26,1,242
Josh.13.27,3,138
Josh.13.28,6,214
Josh.13.29,16,177
Josh.13.30,8,387
Josh.13.31,7,118
Josh.13.32,5,590
Josh.13.33,11,736
Josh.13,5,531
Josh.14.1,10,655
Josh.14.2,5,602
Josh.14.3,21,227
Josh.14.4,5,327
Josh.14.5,11,1914
Josh.14.6,8,971
Josh.14.7,8,818
Josh.14.8,6,1344
Josh.14.9,12,898
Josh.14.10,46,1063
Josh.14.11,2,101
Josh.14.12,13,1019
Josh.14.13,9,896
Josh.14.14,9,941
Josh.14.15,6,99
Josh.14,8,814
Josh.15.1,15,436
Josh.15.2,6,193
Josh.15.3,3,211
Josh.15.4,7,108
Josh.15.5,9,109
Josh.15.6,10,168
Josh.15.7,5,746
Josh.15.8,8,774
Josh.15.9,6,395
Josh.15.10,4,377
Josh.15.11,4,218
Josh.15.12,28,133
Josh.15.13,8,932
Josh.15.14,5,1176
Josh.15.15,14,387
Josh.15.16,11,1488
Josh.15.17,10,725
Josh.15.18,6,88
Josh.15.19,7,276
Josh.15.20,45,167
Josh.15.21,4,346
Josh.15.22,1,1
Josh.15.23,1,1
Josh.15.24,2,3
Josh.15.25,1,32
Josh.15.26,1,4
Josh.15.27,1,14
Josh.15.28,2,27
Josh.15.29,1,1
Josh.15.30,2,4
Josh.15.31,1,1
Josh.15.32,3,319
Josh.15.33,1,2
Josh.15.34,1,3
Josh.15.35,1,2
Josh.15.36,1,30
Josh.15.37,1,2
Josh.15.38,1,1
Josh.15.39,1,5
Josh.15.40,1,1
Josh.15.41,2,124
Josh.15.42,1,4
Josh.15.43,1,1
Josh.15.44,1,19
Josh.15.45,4,9
Josh.15.46,6,1066
Josh.15.47,3,102
Josh.15.48,1,3
Josh.15.49,1,36
Josh.15.50,1,1
Josh.15.51,1,33
Josh.15.52,1,1
Josh.15.53,1,17
Josh.15.54,3,46
Josh.15.55,1,3
Josh.15.56,1,1
Josh.15.57,2,26
Josh.15.58,1,31
Josh.15.59,2,38
Josh.15.60,7,49
Josh.15.61,3,175
Josh.15.62,4,28
Josh.15.63,7,732
Josh.15,3,345
Josh.16.1,5,51
Josh.16.2,4,420
Josh.16.3,3,386
Josh.16.4,4,78
Josh.16.5,13,243
Josh.16.6,4,18
Josh.16.7,2,11
Josh.16.8,8,52
Josh.16.9,8,80
Josh.16.10,11,664
Josh.16,5,220
Josh.17.1,20,501
Josh.17.2,9,178
Josh.17.3,8,520
Josh.17.4,13,831
Josh.17.5,5,467
Josh.17.6,7,278
Josh.17.7,5,953
Josh.17.8,9,425
Josh.17.9,7,83
Josh.17.10,2,68
Josh.17.11,3,73
Josh.17.12,20,723
Josh.17.13,5,1258
Josh.17.14,10,766
Josh.17.15,5,349
Josh.17.16,8,136
Josh.17.17,11,510
Josh.17.18,8,958
Josh.17,7,500
Josh.18.1,5,847
Josh.18.2,2,1387
Josh.18.3,8,1465
Josh.18.4,2,51
Josh.18.5,4,522
Josh.18.6,4,866
Josh.18.7,7,659
Josh.18.8,5,850
Josh.18.9,4,679
Josh.18.10,7,1089
Josh.18.11,8,252
Josh.18.12,11,309
Josh.18.13,9,570
Josh.18.14,11,542
Josh.18.15,7,286
Josh.18.16,15,824
Josh.18.17,9,567
Josh.18.18,4,439
Josh.18.19,10,536
Josh.18.20,5,166
Josh.18.21,3,128
Josh.18.22,2,21
Josh.18.23,1,1
Josh.18.24,2,33
Josh.18.25,1,3
Josh.18.26,1,1
Josh.18.27,1,1
Josh.18.28,4,55
Josh.18,5,575
Josh.19.1,13,74
Josh.19.2,3,192
Josh.19.3,2,3
Josh.19.4,1,1
Josh.19.5,1,14
Josh.19.6,3,51
Josh.19.7,6,33
Josh.19.8,5,424
Josh.19.9,10,333
Josh.19.10,25,201
Josh.19.11,2,913
Josh.19.12,2,505
Josh.19.13,2,12
Josh.19.14,5,61
Josh.19.15,2,34
Josh.19.16,20,87
Josh.19.17,6,40
Josh.19.18,2,128
Josh.19.19,1,1
Josh.19.20,1,1
Josh.19.21,2,12
Josh.19.22,6,51
Josh.19.23,41,78
Josh.19.24,5,59
Josh.19.25,2,108
Josh.19.26,1,2
Josh.19.27,3,298
Josh.19.28,1,152
Josh.19.29,3,37
Josh.19.30,2,46
Josh.19.31,50,96
Josh.19.32,30,67
Josh.19.33,1,180
Josh.19.34,4,25
Josh.19.35,1,3
Josh.19.36,1,3
Josh.19.37,2,3
Josh.19.38,4,49
Josh.19.39,48,80
Josh.19.40,24,45
Josh.19.41,4,107
Josh.19.42,1,1
Josh.19.43,1,1
Josh.19.44,1,1
Josh.19.45,1,2
Josh.19.46,2,12
Josh.19.47,9,97
Josh.19.48,40,84
Josh.19.49,6,721
Josh.19.50,7,1814
Josh.19.51,6,845
Josh.19,3,257
Josh.20.1,323,1807
Josh.20.2,38,1283
Josh.20.3,5,58
Josh.20.4,13,500
Josh.20.5,6,844
Josh.20.6,15,718
Josh.20.7,9,626
Josh.20.8,7,489
Josh.20.9,11,386
Josh.20,10,648
Josh.21.1,21,322
Josh.21.2,6,449
Josh.21.3,8,1467
Josh.21.4,13,161
Josh.21.5,5,33
Josh.21.6,4,27
Josh.21.7,25,48
Josh.21.8,7,1146
Josh.21.9,10,609
Josh.21.10,7,371
Josh.21.11,8,708
Josh.21.12,5,495
Josh.21.13,23,1185
Josh.21.14,7,863
Josh.21.15,6,863
Josh.21.16,12,863
Josh.21.17,20,1652
Josh.21.18,7,1180
Josh.21.19,20,374
Josh.21.20,6,54
Josh.21.21,24,1192
Josh.21.22,8,710
Josh.21.23,5,399
Josh.21.24,22,1508
Josh.21.25,12,855
Josh.21.26,3,357
Josh.21.27,5,776
Josh.21.28,4,1648
Josh.21.29,18,1509
Josh.21.30,7,1650
Josh.21.31,7,1179
Josh.21.32,4,997
Josh.21.33,15,379
Josh.21.34,5,670
Josh.21.35,4,1031
Josh.21.36,14,1177
Josh.21.37,6,1179
Josh.21.38,12,1115
Josh.21.39,35,1740
Josh.21.40,7,290
Josh.21.41,20,262
Josh.21.42,6,112
Josh.21.43,10,1535
Josh.21.44,14,1065
Josh.21.45,66,1233
Josh.21,8,816
Josh.22.1,10,51
Josh.22.2,11,1182
Josh.22.3,42,1339
Josh.22.4,8,922
Josh.22.5,14,1071
Josh.22.6,3,612
Josh.22.7,4,412
Josh.22.8,2,318
Josh.22.9,14,995
Josh.22.10,13,609
Josh.22.11,34,869
Josh.22.12,12,657
Josh.22.13,29,958
Josh.22.14,19,253
Josh.22.15,40,631
Josh.22.16,6,874
Josh.22.17,8,967
Josh.22.18,6,701
Josh.22.19,4,969
Josh.22.20,6,548
Josh.22.21,20,652
Josh.22.22,6,768
Josh.22.23,12,663
Josh.22.24,4,657
Josh.22.25,6,1196
Josh.22.26,6,969
Josh.22.27,4,698
Josh.22.28,7,1006
Josh.22.29,5,781
Josh.22.30,17,927
Josh.22.31,12,1070
Josh.22.32,14,598
Josh.22.33,33,913
Josh.22.34,9,1007
Josh.22,8,819
Josh.23.1,14,708
Josh.23.2,3,368
Josh.23.3,31,1270
Josh.23.4,11,394
Josh.23.5,7,839
Josh.23.6,9,293
Josh.23.7,5,383
Josh.23.8,9,587
Josh.23.9,10,749
Josh.23.10,9,813
Josh.23.11,8,1681
Josh.23.12,4,269
Josh.23.13,4,965
Josh.23.14,43,633
Josh.23.15,13,1088
Josh.23.16,19,1130
Josh.23,8,769
Josh.24.1,3,868
Josh.24.2,20,775
Josh.24.3,6,1464
Josh.24.4,25,537
Josh.24.5,10,1060
Josh.24.6,5,509
Josh.24.7,5,929
Josh.24.8,5,610
Josh.24.9,14,252
Josh.24.10,4,180
Josh.24.11,4,516
Josh.24.12,3,767
Josh.24.13,6,967
Josh.24.14,4,1559
Josh.24.15,6,1648
Josh.24.16,14,1357
Josh.24.17,9,942
Josh.24.18,21,1799
Josh.24.19,6,1227
Josh.24.20,5,1286
Josh.24.21,8,2575
Josh.24.22,11,1194
Josh.24.23,9,1970
Josh.24.24,5,1618
Josh.24.25,22,179
Josh.24.26,6,755
Josh.24.27,8,904
Josh.24.28,10,1406
Josh.24.29,28,552
Josh.24.30,5,442
Josh.24.31,28,1379
Josh.24.32,7,553
Josh.24.33,25,475
Josh.24,7,1010
Josh,6,693
Judg.1.1,21,509
Judg.1.2,103,1711
Judg.1.3,5,218
Judg.1.4,12,971
Judg.1.5,5,1260
Judg.1.6,3,596
Judg.1.7,3,211
Judg.1.8,9,228
Judg.1.9,4,193
Judg.1.10,8,805
Judg.1.11,16,389
Judg.1.12,11,1488
Judg.1.13,11,633
Judg.1.14,7,95
Judg.1.15,7,292
Judg.1.16,8,1122
Judg.1.17,6,1246
Judg.1.18,7,1002
Judg.1.19,17,2024
Judg.1.20,10,1170
Judg.1.21,24,878
Judg.1.22,21,137
Judg.1.23,4,94
Judg.1.24,10,649
Judg.1.25,11,1321
Judg.1.26,13,251
Judg.1.27,9,760
Judg.1.28,5,1139
Judg.1.29,5,841
Judg.1.30,5,787
Judg.1.31,3,1027
Judg.1.32,6,724
Judg.1.33,25,467
Judg.1.34,4,1197
Judg.1.35,5,97
Judg.1.36,2,11
Judg.1,7,745
Judg.2.1,8,900
Judg.2.2,3,159
Judg.2.3,3,165
Judg.2.4,23,1592
Judg.2.5,9,113
Judg.2.6,18,1438
Judg.2.7,21,1458
Judg.2.8,23,672
Judg.2.9,5,18
Judg.2.10,22,1697
Judg.2.11,21,2031
Judg.2.12,8,1180
Judg.2.13,4,1924
Judg.2.14,5,384
Judg.2.15,26,1206
Judg.2.16,2,859
Judg.2.17,15,950
Judg.2.18,4,847
Judg.2.19,2,240
Judg.2.20,14,1667
Judg.2.21,25,805
Judg.2.22,9,1327
Judg.2.23,8,1121
Judg.2,7,1012
Judg.3.1,22,1682
Judg.3.2,4,762
Judg.3.3,7,129
Judg.3.4,9,1985
Judg.3.5,13,225
Judg.3.6,10,1283
Judg.3.7,8,2093
Judg.3.8,6,775
Judg.3.9,10,1028
Judg.3.10,8,1365
Judg.3.11,9,315
Judg.3.12,43,1727
Judg.3.13,9,1670
Judg.3.14,21,925
Judg.3.15,13,1070
Judg.3.16,4,308
Judg.3.17,4,840
Judg.3.18,8,1300
Judg.3.19,11,1022
Judg.3.20,5,528
Judg.3.21,4,1053
Judg.3.22,4,376
Judg.3.23,2,21
Judg.3.24,4,494
Judg.3.25,3,495
Judg.3.26,3,776
Judg.3.27,9,280
Judg.3.28,9,1303
Judg.3.29,15,842
Judg.3.30,17,343
Judg.3.31,7,976
Judg.3,7,962
Judg.4.1,17,938
Judg.4.2,4,676
Judg.4.3,13,1291
Judg.4.4,2,803
Judg.4.5,7,227
Judg.4.6,6,395
Judg.4.7,6,859
Judg.4.8,4,633
Judg.4.9,7,1096
Judg.4.10,5,642
Judg.4.11,2,816
Judg.4.12,4,480
Judg.4.13,8,1201
Judg.4.14,23,1164
Judg.4.15,11,1058
Judg.4.16,9,424
Judg.4.17,8,426
Judg.4.18,5,109
Judg.4.19,2,853
Judg.4.20,6,349
Judg.4.21,3,840
Judg.4.22,6,829
Judg.4.23,18,388
Judg.4.24,7,754
Judg.4,6,743
Judg.5.1,4,252
Judg.5.2,2,103
Judg.5.3,4,128
Judg.5.4,3,430
Judg.5.5,9,1151
Judg.5.6,3,104
Judg.5.7,3,119
Judg.5.8,7,140
Judg.5.9,4,370
Judg.5.10,2,710
Judg.5.11,2,413
Judg.5.12,3,103
Judg.5.13,3,636
Judg.5.14,2,16
Judg.5.15,3,64
Judg.5.16,2,34
Judg.5.17,4,60
Judg.5.18,4,410
Judg.5.19,5,434
Judg.5.20,2,152
Judg.5.21,2,29
Judg.5.22,1,21
Judg.5.23,3,1215
Judg.5.24,2,12
Judg.5.25,1,25
Judg.5.26,1,6
Judg.5.27,4,58
Judg.5.28,2,20
Judg.5.29,2,47
Judg.5.30,2,10
Judg.5.31,3,509
Judg.5,2,254
Judg.6.1,55,1060
Judg.6.2,4,1259
Judg.6.3,7,306
Judg.6.4,4,559
Judg.6.5,3,231
Judg.6.6,8,839
Judg.6.7,19,1599
Judg.6.8,15,1112
Judg.6.9,4,736
Judg.6.10,16,1278
Judg.6.11,3,777
Judg.6.12,21,1294
Judg.6.13,6,885
Judg.6.14,7,1162
Judg.6.15,3,740
Judg.6.16,31,1543
Judg.6.17,9,295
Judg.6.18,4,596
Judg.6.19,3,233
Judg.6.20,6,907
Judg.6.21,6,1278
Judg.6.22,40,1191
Judg.6.23,43,1278
Judg.6.24,7,564
Judg.6.25,10,1429
Judg.6.26,5,844
Judg.6.27,32,769
Judg.6.28,4,535
Judg.6.29,13,478
Judg.6.30,6,1316
Judg.6.31,6,751
Judg.6.32,9,418
Judg.6.33,15,96
Judg.6.34,7,1162
Judg.6.35,3,120
Judg.6.36,18,1269
Judg.6.37,5,898
Judg.6.38,3,571
Judg.6.39,6,529
Judg.6.40,18,648
Judg.6,6,839
Judg.7.1,6,586
Judg.7.2,11,1268
Judg.7.3,8,187
Judg.7.4,15,962
Judg.7.5,6,1315
Judg.7.6,7,575
Judg.7.7,12,1057
Judg.7.8,4,685
Judg.7.9,24,893
Judg.7.10,5,468
Judg.7.11,4,545
Judg.7.12,5,135
Judg.7.13,6,225
Judg.7.14,69,895
Judg.7.15,16,1337
Judg.7.16,3,480
Judg.7.17,21,234
Judg.7.18,7,575
Judg.7.19,3,811
Judg.7.20,2,25
Judg.7.21,6,392
Judg.7.22,5,573
Judg.7.23,7,425
Judg.7.24,11,839
Judg.7.25,5,813
Judg.7,6,693
Judg.8.1,5,318
Judg.8.2,3,235
Judg.8.3,7,773
Judg.8.4,6,526
Judg.8.5,7,541
Judg.8.6,6,314
Judg.8.7,4,1676
Judg.8.8,8,100
Judg.8.9,4,879
Judg.8.10,4,115
Judg.8.11,2,517
Judg.8.12,9,929
Judg.8.13,3,260
Judg.8.14,5,598
Judg.8.15,5,674
Judg.8.16,4,808
Judg.8.17,7,1051
Judg.8.18,3,717
Judg.8.19,8,642
Judg.8.20,4,619
Judg.8.21,6,1099
Judg.8.22,8,649
Judg.8.23,8,633
Judg.8.24,5,493
Judg.8.25,4,722
Judg.8.26,3,497
Judg.8.27,3,197
Judg.8.28,7,409
Judg.8.29,18,259
Judg.8.30,7,191
Judg.8.31,9,987
Judg.8.32,6,130
Judg.8.33,24,318
Judg.8.34,5,1430
Judg.8.35,59,596
Judg.8,5,609
Judg.9.1,36,551
Judg.9.2,5,290
Judg.9.3,25,503
Judg.9.4,7,113
Judg.9.5,7,760
Judg.9.6,12,935
Judg.9.7,13,200
Judg.9.8,3,108
Judg.9.9,4,1192
Judg.9.10,3,49
Judg.9.11,3,957
Judg.9.12,3,49
Judg.9.13,4,871
Judg.9.14,12,502
Judg.9.15,5,591
Judg.9.16,8,446
Judg.9.17,23,993
Judg.9.18,10,1212
Judg.9.19,5,186
Judg.9.20,4,770
Judg.9.21,18,103
Judg.9.22,10,904
Judg.9.23,6,116
Judg.9.24,6,1175
Judg.9.25,5,743
Judg.9.26,7,152
Judg.9.27,2,883
Judg.9.28,6,561
Judg.9.29,3,1166
Judg.9.30,17,765
Judg.9.31,8,715
Judg.9.32,7,630
Judg.9.33,6,550
Judg.9.34,10,820
Judg.9.35,11,509
Judg.9.36,8,791
Judg.9.37,6,247
Judg.9.38,9,736
Judg.9.39,6,115
Judg.9.40,5,141
Judg.9.41,4,766
Judg.9.42,11,152
Judg.9.43,5,580
Judg.9.44,3,757
Judg.9.45,7,1147
Judg.9.46,6,429
Judg.9.47,4,378
Judg.9.48,6,893
Judg.9.49,5,371
Judg.9.50,3,525
Judg.9.51,4,384
Judg.9.52,7,226
Judg.9.53,3,946
Judg.9.54,4,390
Judg.9.55,37,685
Judg.9.56,23,1078
Judg.9.57,5,373
Judg.9,6,618
Judg.10.1,6,690
Judg.10.2,7,1009
Judg.10.3,28,883
Judg.10.4,12,613
Judg.10.5,3,31
Judg.10.6,15,1106
Judg.10.7,20,679
Judg.10.8,6,1229
Judg.10.9,7,537
Judg.10.10,7,1698
Judg.10.11,91,1078
Judg.10.12,1,91
Judg.10.13,11,155
Judg.10.14,4,761
Judg.10.15,24,740
Judg.10.16,5,1570
Judg.10.17,4,434
Judg.10.18,19,592
Judg.10,7,843
Judg.11.1,7,657
Judg.11.2,6,633
Judg.11.3,8,316
Judg.11.4,29,247
Judg.11.5,30,700
Judg.11.6,3,42
Judg.11.7,8,199
Judg.11.8,11,236
Judg.11.9,12,625
Judg.11.10,4,908
Judg.11.11,12,873
Judg.11.12,9,454
Judg.11.13,6,778
Judg.11.14,34,633
Judg.11.15,111,1112
Judg.11.16,6,585
Judg.11.17,15,681
Judg.11.18,8,572
Judg.11.19,6,726
Judg.11.20,8,1155
Judg.11.21,27,1256
Judg.11.22,4,325
Judg.11.23,10,1371
Judg.11.24,4,1103
Judg.11.25,4,356
Judg.11.26,5,582
Judg.11.27,21,564
Judg.11.28,79,1045
Judg.11.29,9,1304
Judg.11.30,11,739
Judg.11.31,4,395
Judg.11.32,25,977
Judg.11.33,10,206
Judg.11.34,4,289
Judg.11.35,3,860
Judg.11.36,8,1253
Judg.11.37,4,589
Judg.11.38,4,670
Judg.11.39,9,980
Judg.11.40,6,187
Judg.11,7,695
Judg.12.1,7,215
Judg.12.2,8,281
Judg.12.3,6,599
Judg.12.4,29,1099
Judg.12.5,4,291
Judg.12.6,6,373
Judg.12.7,21,733
Judg.12.8,9,1217
Judg.12.9,21,584
Judg.12.10,8,52
Judg.12.11,6,1531
Judg.12.12,3,47
Judg.12.13,5,1206
Judg.12.14,11,927
Judg.12.15,3,155
Judg.12,7,606
Judg.13.1,44,1072
Judg.13.2,6,280
Judg.13.3,5,786
Judg.13.4,3,314
Judg.13.5,7,868
Judg.13.6,11,315
Judg.13.7,7,415
Judg.13.8,6,777
Judg.13.9,20,306
Judg.13.10,17,440
Judg.13.11,55,979
Judg.13.12,6,247
Judg.13.13,9,1710
Judg.13.14,7,744
Judg.13.15,5,886
Judg.13.16,6,1156
Judg.13.17,7,1109
Judg.13.18,6,827
Judg.13.19,6,774
Judg.13.20,5,543
Judg.13.21,17,1015
Judg.13.22,16,1001
Judg.13.23,4,957
Judg.13.24,19,683
Judg.13.25,3,551
Judg.13,7,741
Judg.14.1,5,47
Judg.14.2,10,195
Judg.14.3,10,472
Judg.14.4,8,528
Judg.14.5,4,121
Judg.14.6,4,737
Judg.14.7,3,63
Judg.14.8,3,85
Judg.14.9,4,564
Judg.14.10,8,627
Judg.14.11,4,114
